"","h_type","h_ownership","h_es","h_ehr","h_rating","h_mortality","h_soc","h_ra","h_pex","h_eoc","h_toc","h_imaging"
"23","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"24","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"25","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"26","'Acute Care Hospitals'","'Government - Local'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"27","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"28","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"29","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Above the national average'"
"30","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'"
"31","'Critical Access Hospitals'","'Government - Local'","Yes","Y","HHQ","'Not Available'","'Not Available'","'Same as the national average'","'Above the national average'","'Not Available'","'Same as the national average'","'Not Available'"
"32","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"33","'Acute Care Hospitals'","Proprietary","No","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Not Available'","'Not Available'"
"34","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'"
"35","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'"
"36","'Acute Care Hospitals'","'Voluntary non-profit - Private'","No","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Not Available'","'Same as the national average'"
"37","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'"
"38","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'"
"39","'Acute Care Hospitals'","'Voluntary non-profit - Other'","No","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"40","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"41","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"42","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"43","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'"
"44","'Acute Care Hospitals'","'Voluntary non-profit - Private'","No","Y","HHQ","'Same as the national average'","'Not Available'","'Above the national average'","'Above the national average'","'Not Available'","'Not Available'","'Same as the national average'"
"45","'Acute Care Hospitals'","Physician","Yes","Y","HHQ","'Not Available'","'Above the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Above the national average'","'Not Available'"
"46","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Not Available'","'Same as the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Not Available'","'Not Available'"
"47","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"48","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"49","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"50","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"51","'Acute Care Hospitals'","Proprietary","No","Y","HHQ","'Not Available'","'Same as the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Not Available'","'Same as the national average'"
"52","'Critical Access Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Not Available'"
"53","'Acute Care Hospitals'","Physician","Yes","Y","HHQ","'Not Available'","'Same as the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Not Available'"
"54","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"55","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Above the national average'"
"56","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"57","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"58","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"59","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"60","'Acute Care Hospitals'","'Voluntary non-profit - Private'","No","Y","HHQ","'Not Available'","'Above the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Not Available'","'Same as the national average'"
"61","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"62","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"63","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'"
"64","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Below the national average'","'Below the national average'"
"65","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Below the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Below the national average'"
"66","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Below the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'"
"67","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'"
"68","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'"
"69","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"70","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Not Available'","'Above the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Not Available'","'Not Available'"
"71","'Acute Care Hospitals'","Physician","Yes","Y","HHQ","'Not Available'","'Above the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"72","'Acute Care Hospitals'","'Government - State'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"73","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"74","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Below the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"75","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"76","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"77","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"78","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"79","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"80","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"81","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Not Available'"
"82","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"83","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Not Available'","'Same as the national average'","'Same as the national average'","'Not Available'"
"84","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Not Available'"
"85","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"86","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Below the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"87","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"88","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"89","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'"
"90","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"91","'Acute Care Hospitals'","'Government - State'","Yes","Y","HHQ","'Not Available'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Not Available'"
"92","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Not Available'"
"93","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"94","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Below the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"95","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Above the national average'","'Below the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Below the national average'","'Above the national average'"
"96","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"97","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Below the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'","'Below the national average'"
"98","'Acute Care Hospitals'","'Voluntary non-profit - Private'","No","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"99","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"100","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'","'Above the national average'"
"101","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
"102","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'"
"103","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Not Available'"
"104","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'"
"105","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"106","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"107","'Critical Access Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"108","'Critical Access Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Not Available'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"109","'Critical Access Hospitals'","Proprietary","Yes","Y","HHQ","'Not Available'","'Not Available'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Not Available'"
"110","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"111","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"112","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Not Available'","'Same as the national average'","'Not Available'","'Above the national average'","'Same as the national average'","'Not Available'","'Not Available'"
"113","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"114","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'"
"115","'Acute Care Hospitals'","'Government - State'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"116","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"117","'Acute Care Hospitals'","Physician","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"118","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Below the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Below the national average'","'Above the national average'"
"119","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"120","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"121","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Same as the national average'","'Not Available'","'Same as the national average'","'Not Available'","'Same as the national average'","'Same as the national average'","'Not Available'"
"122","'Acute Care Hospitals'","Proprietary","No","Y","HHQ","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Above the national average'"
"123","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'"
"124","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Same as the national average'","'Not Available'"
"125","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'"
"126","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Not Available'"
"127","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'","'Below the national average'"
"128","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"129","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"130","'Acute Care Hospitals'","'Government - Federal'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Below the national average'","'Same as the national average'"
"131","'Acute Care Hospitals'","'Voluntary non-profit - Church'","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"132","'Acute Care Hospitals'","Proprietary","Yes","Y","HHQ","'Above the national average'","'Above the national average'","'Above the national average'","'Below the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'"
"133","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","?","HHQ","'Same as the national average'","'Below the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"134","'Acute Care Hospitals'","'Voluntary non-profit - Private'","Yes","Y","HHQ","'Above the national average'","'Below the national average'","'Above the national average'","'Below the national average'","'Below the national average'","'Below the national average'","'Same as the national average'"
"135","'Acute Care Hospitals'","'Government - Hospital District or Authority'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'"
"136","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Below the national average'","'Above the national average'"
"137","'Acute Care Hospitals'","'Voluntary non-profit - Other'","Yes","Y","HHQ","'Same as the national average'","'Above the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Same as the national average'","'Above the national average'"
