"h_ownership","h_es","h_rating","h_mortality","h_soc","h_ra","h_pex","h_eoc","h_toc","h_imaging"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Below the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - Local","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Other","No","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Below the national average","Below the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Above the national average","Below the national average","Below the national average"
"Voluntary non-profit - Other","Yes","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - State","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Proprietary","Yes","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Above the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Private","No","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average"
"Proprietary","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"Government - State","Yes","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"Physician","Yes","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Below the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","No","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Government - Federal","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Below the national average","Above the national average","Below the national average","Below the national average","Below the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Other","Yes","HHQ","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"Proprietary","No","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"Voluntary non-profit - Other","Yes","HHQ","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Below the national average","Above the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Below the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Church","Yes","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Below the national average"
"Voluntary non-profit - Other","Yes","HHQ","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Other","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - Hospital District or Authority","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"Government - Hospital District or Authority","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"Government - State","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"Government - Federal","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"Proprietary","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Proprietary","Yes","HHQ","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - Local","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average","Above the national average"
"Proprietary","Yes","HHQ","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Other","No","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","No","HHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Church","Yes","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - Local","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Government - Local","Yes","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"Voluntary non-profit - Church","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Below the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Above the national average"
"Government - Local","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Below the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"Government - Local","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Above the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"Proprietary","Yes","HHQ","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"Voluntary non-profit - Private","Yes","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"Voluntary non-profit - Private","Yes","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"Government - Local","Yes","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
