h_ownership,h_es,h_rating,h_mortality,h_soc,h_ra,h_pex,h_eoc,h_toc,h_imaging
Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Other,Yes,4,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average
Voluntary non-profit - Private,No,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Proprietary,Yes,4,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Government - State,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Physician,Yes,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,No,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Government - Federal,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Other,Yes,4,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Proprietary,No,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Proprietary,Yes,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Voluntary non-profit - Other,Yes,4,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Above the national average
Proprietary,Yes,4,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Other,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Church,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average
Voluntary non-profit - Other,Yes,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Government - Hospital District or Authority,Yes,4,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Government - State,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Government - Federal,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Proprietary,Yes,4,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Government - Local,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Above the national average
Proprietary,Yes,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Voluntary non-profit - Other,No,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,No,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Government - Local,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average
