"","h_ownership","h_es","h_ehr","h_rating","h_mortality","h_soc","h_ra","h_pex","h_eoc","h_toc","h_imaging"
"19","Government - Local","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"20","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"21","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"22","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"23","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"24","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"25","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"26","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average"
"27","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average"
"28","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"29","Voluntary non-profit - Other","No","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"30","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"31","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"32","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"33","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"34","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"35","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"36","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"37","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"38","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"39","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"40","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"41","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"42","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"43","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"44","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"45","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"46","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"47","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Below the national average","Below the national average","Below the national average"
"48","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Above the national average","Below the national average","Below the national average"
"49","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"50","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"51","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"52","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"53","Government - State","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"54","Government - Hospital District or Authority","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"55","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"56","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"57","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"58","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"59","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"60","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"61","Proprietary","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"62","Proprietary","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"63","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"64","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"65","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"66","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"67","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"68","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"69","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average"
"70","Voluntary non-profit - Private","No","Y","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Above the national average"
"71","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"72","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"73","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average"
"74","Proprietary","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"75","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"76","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"77","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"78","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"79","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"80","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"81","Government - State","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"82","Physician","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"83","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"84","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"85","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"86","Proprietary","No","Y","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"87","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"88","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"89","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"90","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"91","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"92","Government - Federal","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"93","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"94","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"95","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Below the national average","Below the national average","Below the national average","Same as the national average"
"96","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"97","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"98","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"99","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","Same as the national average"
"100","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"101","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"102","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"103","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Below the national average"
"104","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"105","Proprietary","No","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"106","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"107","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Below the national average"
"108","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"109","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Below the national average","Above the national average"
"110","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"111","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"112","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"113","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"114","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"115","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"116","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average"
"117","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"118","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"119","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"120","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"121","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"122","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"123","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"124","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"125","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"126","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"127","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"128","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"129","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"130","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"131","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"132","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"133","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"134","Voluntary non-profit - Church","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"135","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"136","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"137","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"138","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"139","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"140","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Below the national average"
"141","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"142","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"143","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"144","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"145","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"146","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"147","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"148","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"149","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"150","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"151","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"152","Government - Hospital District or Authority","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"153","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"154","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"155","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"156","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"157","Government - State","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"158","Government - Federal","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"159","Proprietary","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"160","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"161","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"162","Proprietary","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"163","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"164","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"165","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"166","Government - Local","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"167","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"168","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"169","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"170","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"171","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"172","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
