,h_type,h_ownership,h_es,h_ehr,h_rating,h_mortality,h_soc,h_ra,h_pex,h_eoc,h_toc,h_imaging
38,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average'
39,'Acute Care Hospitals','Voluntary non-profit - Other',No,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
40,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
41,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
42,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
43,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average','Above the national average'
44,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Above the national average','Not Available','Not Available','Same as the national average'
45,'Acute Care Hospitals',Physician,Yes,Y,High Hospital Quality,'Not Available','Above the national average','Not Available','Above the national average','Same as the national average','Above the national average','Not Available'
46,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Same as the national average','Not Available','Above the national average','Same as the national average','Not Available','Not Available'
47,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
48,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
49,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
50,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
51,'Acute Care Hospitals',Proprietary,No,Y,High Hospital Quality,'Not Available','Same as the national average','Not Available','Above the national average','Same as the national average','Not Available','Same as the national average'
52,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
53,'Acute Care Hospitals',Physician,Yes,Y,High Hospital Quality,'Not Available','Same as the national average','Not Available','Above the national average','Same as the national average','Same as the national average','Not Available'
54,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
55,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average'
56,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
57,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
58,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
59,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
60,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Not Available','Above the national average','Not Available','Above the national average','Same as the national average','Not Available','Same as the national average'
61,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
62,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
63,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Above the national average'
64,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Above the national average','Below the national average','Below the national average','Below the national average'
65,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Above the national average','Above the national average','Below the national average','Below the national average'
66,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Above the national average'
67,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average'
68,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Below the national average'
69,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
70,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Not Available','Above the national average','Not Available','Above the national average','Same as the national average','Not Available','Not Available'
71,'Acute Care Hospitals',Physician,Yes,Y,High Hospital Quality,'Not Available','Above the national average','Not Available','Above the national average','Same as the national average','Same as the national average','Same as the national average'
72,'Acute Care Hospitals','Government - State',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
73,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
74,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
75,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
76,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
77,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
78,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
79,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
80,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
81,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
82,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
83,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Same as the national average','Same as the national average','Not Available'
84,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Not Available'
85,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
86,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Below the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
87,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average'
88,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
89,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average'
90,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
91,'Acute Care Hospitals','Government - State',Yes,Y,High Hospital Quality,'Not Available','Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
92,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
93,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
94,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
95,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Above the national average'
96,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
97,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Same as the national average','Below the national average','Same as the national average','Below the national average'
98,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Above the national average'
99,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Same as the national average'
100,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Above the national average'
101,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average','Same as the national average','Above the national average'
102,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Above the national average'
103,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
104,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average'
105,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
106,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
107,'Critical Access Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
108,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Same as the national average','Same as the national average','Same as the national average'
109,'Critical Access Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
110,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
111,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
112,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Not Available','Same as the national average','Not Available','Above the national average','Same as the national average','Not Available','Not Available'
113,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
114,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average'
115,'Acute Care Hospitals','Government - State',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Below the national average','Same as the national average'
116,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
117,'Acute Care Hospitals',Physician,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Same as the national average'
118,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Below the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Above the national average'
119,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
120,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
121,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Same as the national average','Same as the national average','Not Available'
122,'Acute Care Hospitals',Proprietary,No,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Below the national average','Above the national average'
123,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Below the national average'
124,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Not Available'
125,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average'
126,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Not Available'
127,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Below the national average','Below the national average'
128,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Same as the national average'
129,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
130,'Acute Care Hospitals','Government - Federal',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
131,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
132,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Above the national average','Same as the national average'
133,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,?,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
134,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Below the national average','Below the national average','Below the national average','Same as the national average'
135,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
136,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Above the national average'
137,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
138,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Same as the national average','Below the national average','Below the national average','Same as the national average'
139,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
140,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
141,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
142,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Below the national average','Below the national average','Same as the national average','Same as the national average','Below the national average'
143,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
144,'Acute Care Hospitals',Proprietary,No,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
145,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
146,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Below the national average'
147,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Below the national average','Same as the national average','Above the national average','Not Available'
148,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Below the national average'
149,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Not Available','Same as the national average','Not Available','Above the national average','Above the national average','Not Available','Not Available'
150,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Same as the national average','Above the national average','Below the national average','Above the national average'
151,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Same as the national average','Below the national average','Same as the national average','Same as the national average','Not Available'
152,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Below the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
153,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Not Available'
154,'Acute Care Hospitals',Proprietary,No,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Not Available','Same as the national average','Not Available','Not Available'
155,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Above the national average'
156,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Same as the national average','Not Available','Same as the national average','Same as the national average','Not Available','Not Available'
157,'Critical Access Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
158,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
